time,type,detail,amount,balance
2025-11-11 14:43:58,LOGIN,Đăng nhập 1002,0,303000
2025-11-11 14:44:47,ERROR,Insufficient funds,0,303000
2025-11-11 14:45:13,TRANSFER_OUT,Chuyển cho 1001,300000,3000
2025-11-11 14:45:28,TRANSFER_OUT,Chuyển cho 1001,3000,0
2025-11-11 14:53:14,LOGIN,Đăng nhập 1002,0,0
2025-11-11 14:53:16,LOGIN,Đăng nhập 1002,0,0
2025-11-11 14:53:16,LOGIN,Đăng nhập 1002,0,0
2025-11-11 14:53:16,LOGIN,Đăng nhập 1002,0,0
2025-11-11 14:53:26,DEPOSIT,Nạp tiền,1000000,1000000
2025-11-11 14:53:26,DEPOSIT,Nạp tiền,1000000,2000000
2025-11-11 14:53:42,TRANSFER_OUT,Chuyển cho 1001,100000,1900000
2025-11-11 14:53:52,TRANSFER_OUT,Chuyển cho 1001,100000,1800000
2025-11-11 14:57:29,TRANSFER_OUT,Chuyển cho 1001,100000,1700000
2025-11-11 14:57:34,TRANSFER_OUT,Chuyển cho 1001,100000,1600000
2025-11-18 13:21:15,ERROR,Not logged in,0,0
2025-11-18 13:40:30,LOGIN,Đăng nhập 1002,0,500000
2025-11-18 13:54:29,LOGIN,Đăng nhập 1002,0,500000
2025-11-18 13:54:37,WITHDRAW,Rút tiền,50000,450000
2025-11-18 13:55:04,TRANSFER_IN,Nhận từ 1001,50000,500000
2025-11-18 13:55:37,ERROR,Không thể tự chuyển cho chính mình,0,500000
2025-11-18 13:55:43,TRANSFER_OUT,Chuyển cho 1001,20000,480000
2025-11-25 12:03:08,LOGIN,Đăng nhập 1002,0,480000
2025-11-25 12:03:29,TRANSFER_OUT,Chuyển cho 1001,80000,400000
